SKU,PRODUIT,DEMANDE,STOCK_DISPONIBLE,STOCK_SECURITE,BESOIN_NET,QUANTITE_COMMANDEE,TAILLE_PACK,PRIX_UNITAIRE,TOTAL
SKU000013,Born Frozen Organic,52,50,10,12,48,6,17.95,861.60
SKU000086,Answer Beverages Pro,50,50,10,10,12,12,12.51,150.12
SKU000162,Past Cleaning Pro,41,50,10,1,10,1,10.22,102.20
SKU000176,Activity Dairy Gold,49,50,10,9,24,6,19.80,475.20
SKU000188,Listen Grocery Organic,67,50,10,27,27,1,7.03,189.81
SKU000253,Central Frozen Gold,43,50,10,3,48,12,1.27,60.96
SKU000266,Machine Beverages Gold,67,50,10,27,27,1,14.88,401.76
SKU000317,Specific Grocery Basic,44,50,10,4,24,12,6.19,148.56
SKU000325,Inside Dairy Pro,53,50,10,13,13,1,18.76,243.88
SKU000353,Measure Beverages Pro,45,50,10,5,48,6,1.61,77.28
SKU000392,Same Grocery Organic,49,50,10,9,12,6,9.31,111.72
SKU000445,Pay Dairy Organic,45,50,10,5,10,6,18.08,180.80
SKU000473,Finish Personal Care Basic,43,50,10,3,10,6,4.48,44.80
